cpf,NPS
10433218100,9
96001338914,9
08386379499,9
02654235114,8
16155940789,9
81618495950,9
31034131656,9
47525534144,9
92832764851,10
35030564160,7
39537672409,9
23884969692,9
53287101269,9
26916697857,9
48018451427,9
62704828105,9
48932528870,9
09570154373,9
03911718284,9
27824896315,9
83465787170,7
33150983959,9
30103105107,9
83473829994,9
73763116532,9
66701065139,8
33387262442,8
73178108009,9
13267736072,9
26064746866,9
72343098026,9
50097882097,9
81219136166,9
93990916947,9
98543534607,9
24751079956,9
11838425110,9
35427849823,9
08412411803,9
24493534885,9
74016400589,9
24278680198,9
12805982630,9
20450533182,7
58692322601,9
02563421640,8
07337543336,9
03654145817,9
68501429414,9
01965569889,9
16934060806,9
83561595120,9
48465648271,9
36629946820,9
04436995771,9
77387214808,9
95134332002,9
03791769391,9
67632016309,9
28708317224,9
78895798619,9
87277434897,9
73471434542,9
58122362320,9
16658760349,8
66909670507,9
46688937301,9
46706562793,9
29806990129,9
62720465372,9
75564641728,10
08053100376,9
30923271953,9
37452991249,8
41904966349,10
19314919099,9
58651850638,9
71657262847,9
49877694506,7
31473799651,9
50752735489,10
54948083194,9
36783777006,9
14363495758,9
88568557473,9
44313518258,9
33749894116,9
34352408220,9
40084271043,7
94777520455,9
71167190246,9
29413186901,9
99386774950,9
64990913329,9
41232812064,9
67974034483,9
71349361801,9
32421024951,10
94717464850,9
87719065921,9
40139904905,9
02787429637,8
71756551260,7
56746807100,8
54516808765,9
60385977000,9
34824771080,9
93248086130,10
31712748416,5
67737826351,8
98214658462,9
04499727804,9
75588675339,9
39636057664,9
62702895131,9
71870262182,9
74596158622,8
57809134396,4
16117240074,4
50455623805,8
69222196945,9
37923747490,9
07482175920,9
46474367130,8
36959440645,8
40909743991,9
53394210401,9
70952145650,10
23285884258,10
47451712346,9
68516048179,7
75496513707,6
09859317445,9
61200471156,8
38267586920,9
26179640513,9
37735158556,9
06431713982,9
00532931858,9
39335290424,9
22842102010,9
53950240268,8
68117758903,7
17839084753,5
00766177181,8
15921249920,6
85698478902,3
61183673612,7
57661565455,9
52711116107,9
52809885109,8
65604945196,8
98327315854,8
51493689975,9
80940244535,9
50229612024,3
18366752593,9
45991022968,7
01476797617,9
43815614902,9
78403690061,7
34324451052,9
76226838841,8
51606071530,9
96966416053,9
52975161379,9
69681645316,8
52181883521,8
52312432994,3
21277997985,9
95527177444,9
49058147746,9
00541199870,8
67980793501,9
97820715103,7
82037788959,9
25546659076,8
51518644910,6
25192546290,6
91486528147,7
68505423542,9
73322141802,8
88059296205,9
22927065390,9
79473834721,9
35977468881,9
62392407533,9
81814124780,9
82613750642,9
06853615352,8
05152204770,9
27790104365,6
28986143437,9
10369711718,9
98089324606,7
09539621801,4
51888880686,7
70654051500,8
31952058589,8
27722170439,9
30305486861,9
74034505400,9
15667652773,9
75841616935,9
28451154409,9
79627570516,6
96401658240,9
02970213540,9
56909275543,8
71928565417,9
31027868126,9
44739473194,7
21727155149,5
88442258329,9
13237058998,9
57829114684,9
78669125137,9
77852892205,9
68018242283,6
53584143802,9
42498182926,8
92299590064,5
10943969077,9
78447364704,9
10276773551,5
92555625844,3
81537147323,8
21046963210,8
59532787720,7
47016873323,5
95004797455,9
80162456506,8
06098358400,9
16878499194,9
21655852361,8
98680002542,9
78729825954,9
52694958800,9
87947055181,9
69409749972,9
30972896236,8
30913075655,7
26368970200,8
83857865202,8
78585497319,9
34843443778,9
57584419887,9
66524041500,7
74733848480,6
21993308342,7
30165712007,7
82677345463,10
01938026276,8
06724004993,9
91547887222,8
87431527403,9
20549329650,9
68516122751,7
53046374534,7
49904530181,8
74268414568,10
93327279535,9
68783391894,9
78519108890,8
39822587155,9
39718707247,9
86790874089,9
64039106555,9
18017046278,9
26567661844,10
25128682307,9
00478686358,8
37524310676,9
90331190729,7
90306738341,8
02843959942,9
53428364414,5
08926870537,7
68566246209,9
87334270894,9
66882634327,9
51751830446,9
69901398380,7
73540331700,8
39363854671,8
78544587747,8
17535560903,5
32048996400,7
23536937845,8
54777252221,6
87280801064,9
06231203808,9
75099770029,7
88600848490,7
08621182394,10
39845461573,9
67933410146,8
66687002171,9
76591803394,9
97401489058,8
25039261420,9
29396856223,9
18501631540,9
99965047782,9
35866296136,8
94311426275,7
65511047546,9
41212678850,9
86101581950,9
95604661864,6
39826224413,10
47212646407,6
71543799361,8
71240659687,7
57569245903,7
37526547916,9
35646519349,6
98280737499,9
16724342627,10
61797968823,7
68058911321,7
52909656101,9
01438889941,8
37567982595,8
07146112551,7
45738757190,7
77514010521,9
12382825804,9
67362266006,8
93796603327,9
41918255342,9
71478596937,8
69155792499,3
99125134108,3
25286692915,8
66278282780,8
42257905091,8
72368876766,6
67721903432,9
04384279710,8
88191485877,9
07836134075,8
74517133931,6
59629233088,5
95849825401,9
49481260470,7
22325367266,7
94667116870,5
45775901746,10
51863637400,9
54589297566,7
00170127753,8
06324241505,9
41520643667,5
11037129342,8
87005162790,6
13611155489,7
26221890950,9
27532697347,8
11219656526,8
23413899961,4
40438983637,9
40376137940,7
18055269602,6
58271091000,1
43006848632,8
66188924146,8
41832856909,6
14630316108,7
79904210209,7
02758842521,9
24105648101,8
49177850734,5
92524191362,9
80003075613,10
22086353618,3
54195180236,9
38061744589,8
18705349486,6
93759738320,8
20603850596,8
06413836733,7
02410386504,5
71918261938,8
90623445697,8
55743132941,9
12127756193,5
85374741187,7
24903521303,7
56804420608,8
78831712160,9
00323651950,5
94101372179,6
51070296635,7
70662532481,3
47209993444,10
76870146268,6
63838065727,5
87598564248,3
05930407835,4
59321334815,9
03965223941,9
55905992967,4
37842701075,7
39308705929,7
32525002997,9
21851569189,6
54522675224,7
89539264405,5
22096902932,3
59391725120,8
35521570420,10
33154100628,10
76267658694,8
17932710464,7
05411526299,7
18159970609,4
29620153367,7
68844431033,9
69872050600,8
14973103268,8
41714677486,9
18625652794,8
04774349089,8
21158693893,7
06868793766,9
41608989984,6
21722332000,8
61632945134,8
16868548702,7
09986162220,4
99911914887,8
56467997085,7
24629960600,5
53074505400,6
44713247561,2
46913736754,9
85082148630,9
28902330303,3
07053457850,4
61035797240,8
79855241428,9
06029333313,9
46800722960,7
03494466521,4
74374896945,8
10858994461,8
17154544481,7
32830965205,3
07446660902,8
93538758468,9
28241724870,9
25135346546,3
54947170972,4
99173816868,10
46022356970,8
72521752517,8
00743292782,9
12966667605,9
00835058301,8
00335421636,6
89421044797,8
89856257565,10
32603323083,9
98215064884,7
90901001643,7
76184723006,9
46184992651,5
18914117308,1
93483564292,7
08737530038,7
11972181149,9
43744701239,9
04556110092,8
22557941522,9
52166746756,8
62120216940,9
79729659001,9
27716701436,9
50899358829,8
91637562853,6
90028772180,5
75354083893,4
66317797153,3
77517016687,1
08801994826,5
83755037548,3
89975711332,2
05548851071,1
27261493325,9
16373516075,9
91779827032,9
80869782908,8
22169958606,8
69346547227,7
26984858330,7
33945228883,8
51587996871,6
46081062015,8
03424420409,8
38057198338,9
86384066653,6
58004397379,5
59893347297,8
12281606430,6
84229405740,8
20259094706,9
98515832860,9
18268861509,6
33555439855,6
78015739942,6
30561648425,6
08588770407,9
35811288026,7
13361386101,9
20750110287,8
48193466799,5
66506180986,8
19015814465,9
91476607249,8
83268424511,8
08821009980,7
68814353638,8
82223943128,5
29087814178,6
41397552379,2
14913577549,8
94929955653,8
20533645212,5
57775478187,5
29142834155,10
10809969319,9
08488725680,9
39427881607,7
58039282756,6
22992750379,4
73145303864,7
56770051850,6
44989266501,2
91846386560,9
57790827235,7
31843222540,8
91365177718,7
39260302919,6
92280920255,4
42869904193,8
37977236958,6
29298425716,7
99136621099,5
38862912781,8
99088117209,8
98068650814,4
63765991686,8
24731498600,9
43009818092,8
63565126957,7
44869594692,5
36887258838,3
74495621386,9
72138658970,8
02601279656,6
11435190602,5
69849027703,9
03843098875,7
39205302171,7
46566938044,9
11848955464,6
39376904257,7
68181845102,5
84894769778,7
35779071420,6
16335658828,8
04341651820,9
27553942340,8
73334333310,5
95211179072,7
80759579466,3
72846392021,9
86780856223,8
71875003606,7
91559428490,8
34795527652,9
36556472980,4
29314386694,3
32270267249,4
88574489085,5
61203471785,4
54558845065,3
61593998295,6
45587716902,7
47225699679,6
11253554412,1
96475987697,9
22023413230,9
61117800695,9
81149216417,6
33472282002,7
05577848750,5
28299796806,8
84578317471,7
56424008276,3
54780774020,5
64930853656,4
86632663400,4
16389448490,8
63122417936,9
74973502006,9
80214427005,7
31207356476,6
75705120494,3
61872346006,5
13673037102,9
83764520884,9
81474350372,8
13650249111,9
63009792530,7
13271950032,4
52812735821,3
57306524020,2
77848739210,9
85574982170,9
82744857009,8
86209593526,9
18638782977,8
45651181067,9
22031731068,5
96789940545,4
39103717011,2
58650948073,9
14138113886,9
63383928888,9
61957612223,8
86852897508,9
58556659330,10
98368457718,7
60049082400,7
04335048890,8
89921075284,7
24593344190,4
96931572733,8
91940961041,9
55661390602,3
04805892595,4
83206799821,7
13646225130,6
79086416870,5
62278376950,7
38983314664,7
59116655303,8
55904259727,9
92703352166,6
10392405180,7
47705383322,6
88487920659,7
98042043988,9
40701645105,7
04636815769,6
98123878036,8
03845762063,7
55543840489,8
60843256290,7
16893639244,6
64957823227,4
98324826238,4
92518812512,7
20566474271,6
31220994979,5
99393305102,5
72897526785,3
72233060415,8
63331279730,6
57366096571,8
69998808162,4
77038860844,8
68034764485,3
72649082755,4
71812982674,9
65702793781,8
14521117589,8
18689268693,8
02592222081,8
64474212347,9
09407778002,9
97339776753,9
19903849869,7
30220502080,7
99451016252,9
24999827999,6
50145561674,5
81472145887,8
68339019880,5
17946954867,9
99529978766,9
72934301087,4
71396605576,6
83034414420,8
88501556971,3
90235577006,9
27278576083,8
84958803939,4
55124056835,5
29962914507,7
04617357416,9
38421503189,5
78078235771,8
84521823092,6
76810409190,3
57018409489,4
35334485767,2
14224109867,8
81385854200,9
49321495819,9
70207016046,8
16629979575,3
45381792131,8
71747733202,6
94562557788,6
01715772482,3
59928161518,5
81487696302,9
93827615356,8
96695832170,8
97199758146,7
72461919682,3
57013290203,4
27846997300,9
35494651908,2
09862405830,2
00851403689,4
96566668365,7
27238656221,4
42201027609,8
21267969229,7
78687653212,5
69097384621,3
89500975165,8
97128478108,4
89137189441,4
90580778703,2
95654420992,8
49407929000,6
49047128117,2
44294440139,7
92927524300,4
72805129253,4
76637239534,4
04102767401,2
78366742822,6
60476580161,7
85694544145,4
49673938539,3
25800106100,4
81753443008,8
09109391100,9
19269212408,6
47174654231,3
14066504477,4
27173962765,4
12863917412,1
10119470721,1
20064256928,9
08776618390,9
06719855409,4
60158517407,4
32806346100,4
57173203023,5
93761847858,8
70050506145,4
38782931003,4
27079032059,3
20417929145,4
11799313603,8
56519825310,8
09251142602,8
25827390224,5
19620710061,5
21946723207,3
48763290952,2
27914560820,10
33181958808,7
37340312730,6
72200543603,7
45970108235,3
20781137942,2
95635315313,8
13636317997,8
70623972611,4
52735435253,3
09042177608,10
25349292919,4
83168739740,4
74063356957,5
39290600780,1
80686717732,9
31806325420,9
31074279930,8
07726257008,9
16580464984,7
89319508534,6
01657905551,4
28183253822,3
17933554873,3
64015577884,6
81788479572,3
13711624170,3
12412723877,2
04682756737,7
04310385621,7
95579887701,8
49242437522,7
40254729290,3
84222231045,4
59274523882,2
05525782820,9
41067275282,7
08854749290,6
97517028103,9
40693751550,5
09398343088,6
18718637590,9
99805626504,2
65045547810,6
13767426676,6
29912347846,8
51961064642,4
28792326439,2
87049478784,1
30024471453,9
62730147101,9
95979647163,8
58904290279,8
57252045617,7
50448183218,7
19285544584,8
18952028414,5
57652132860,8
33898881601,2
71120754593,9
27985240160,7
32234232147,5
61107603153,6
08907140103,4
40119393239,3
50124955274,0
89389119006,1
83342801301,10
87592712563,8
66383615114,8
71827548002,4
15716479456,4
73864631700,2
52071678125,6
12669121500,8
35396136766,3
49946579634,5
78427114702,4
73201017000,8
26952499180,7
18773477877,3
48588006103,9
67567700204,9
84276246709,8
19788977820,8
28064796903,8
54500902503,8
59056165585,6
65033349155,7
14152085061,5
76986407955,9
05696591752,6
13578529400,4
56371834495,3
04963919176,3
95419876302,2
51484685300,10
66498782005,6
82973748909,9
69083572366,4
24665136416,5
42493631200,1
30347786600,2
03242044851,4
20700159479,9
16516231982,7
81898471398,7
91559636335,6
21234764989,6
07851586771,2
34257540923,3
00348645120,2
83760644104,6
34327560464,9
17765612441,7
81569857024,8
02720634522,9
91123829659,9
57724295409,4
31652669302,7
00893173436,3
20696942160,4
52910867773,4
13334476200,6
63934362630,6
20443973580,7
97107256378,6
66941180072,3
53759900402,8
89646528007,2
92428757245,6
15862415084,3
27456449473,7
85625728704,3
03203207400,3
27617075839,3
77712151300,10
42284993923,7
08926137180,8
50416591507,9
20177749016,6
50975923013,6
45018961678,4
42361032651,3
64214764900,4
25158377600,6
74996165928,8
26610857342,5
27881476192,6
74224386496,3
90810818612,2
61794549145,2
80172260124,9
64597794573,4
23219416853,4
00610277669,2
97499564193,9
22031030353,8
72368314768,5
27601227782,8
70793349699,2
05016679975,3
84076789962,5
73080695836,9
14671795744,7
60243757352,8
83959724667,8
65729341792,6
22329716788,9
43380054593,8
22801561991,4
31837455007,2
84289107745,2
11991808151,9
21352478714,4
