cpf,gender,SeniorCitizen,Partner,Dependents
10433218100,Female,0,Yes,Yes
96001338914,Female,0,No,No
8386379499,Female,0,Yes,No
2654235114,Female,0,No,No
16155940789,Male,0,No,No
81618495950,Male,0,No,No
31034131656,Male,0,Yes,No
47525534144,Female,0,Yes,Yes
92832764851,Female,0,Yes,Yes
35030564160,Female,1,Yes,No
39537672409,Female,1,No,No
23884969692,Male,0,No,No
53287101269,Female,0,Yes,No
26916697857,Male,0,Yes,No
48018451427,Female,0,Yes,Yes
62704828105,Female,0,Yes,Yes
48932528870,Female,1,Yes,No
9570154373,Male,0,Yes,Yes
3911718284,Male,0,No,No
27824896315,Male,0,Yes,Yes
83465787170,Male,1,No,No
33150983959,Female,0,No,No
30103105107,Female,0,Yes,Yes
83473829994,Male,0,No,No
73763116532,Male,0,Yes,No
66701065139,Male,1,Yes,Yes
33387262442,Male,0,No,No
73178108009,Male,0,No,No
13267736072,Female,0,No,Yes
26064746866,Male,0,Yes,No
72343098026,Male,1,No,No
50097882097,Male,1,Yes,No
81219136166,Male,0,Yes,Yes
93990916947,Female,1,Yes,No
98543534607,Female,0,Yes,No
24751079956,Male,0,Yes,Yes
11838425110,Female,0,Yes,Yes
35427849823,Male,0,Yes,No
8412411803,Male,0,Yes,No
24493534885,Male,0,Yes,No
74016400589,Female,1,Yes,No
24278680198,Male,1,Yes,Yes
12805982630,Male,0,Yes,No
20450533182,Female,0,No,No
58692322601,Female,0,Yes,Yes
2563421640,Female,1,Yes,No
7337543336,Male,0,Yes,No
3654145817,Female,0,Yes,No
68501429414,Female,0,No,No
1965569889,Male,0,Yes,Yes
16934060806,Female,0,Yes,Yes
83561595120,Female,0,Yes,No
48465648271,Female,0,Yes,Yes
36629946820,Female,0,Yes,No
4436995771,Male,0,Yes,No
77387214808,Female,0,Yes,Yes
95134332002,Female,0,Yes,No
3791769391,Female,0,No,No
67632016309,Female,0,Yes,Yes
28708317224,Female,0,No,No
78895798619,Female,0,No,No
87277434897,Male,1,Yes,No
73471434542,Female,0,No,No
58122362320,Female,0,No,No
16658760349,Female,0,Yes,No
66909670507,Male,1,Yes,Yes
46688937301,Male,0,No,No
46706562793,Female,0,No,No
29806990129,Female,0,Yes,No
62720465372,Female,1,Yes,No
75564641728,Male,0,Yes,Yes
8053100376,Male,0,Yes,Yes
30923271953,Female,1,Yes,No
37452991249,Female,0,Yes,No
41904966349,Female,0,Yes,Yes
19314919099,Male,0,No,Yes
58651850638,Male,0,Yes,Yes
71657262847,Male,1,Yes,No
49877694506,Female,0,No,No
31473799651,Male,0,Yes,No
50752735489,Male,0,Yes,Yes
54948083194,Male,0,Yes,Yes
36783777006,Male,0,No,No
14363495758,Male,0,Yes,No
88568557473,Male,0,Yes,Yes
44313518258,Male,0,No,No
33749894116,Female,0,Yes,Yes
34352408220,Male,0,Yes,No
40084271043,Male,0,Yes,No
94777520455,Male,0,Yes,Yes
71167190246,Male,0,Yes,Yes
29413186901,Male,0,Yes,Yes
99386774950,Male,0,Yes,Yes
64990913329,Female,0,Yes,No
41232812064,Male,1,No,No
67974034483,Male,0,Yes,No
71349361801,Female,0,Yes,No
32421024951,Female,0,Yes,Yes
94717464850,Female,0,Yes,No
87719065921,Female,0,No,No
40139904905,Female,1,Yes,No
2787429637,Male,1,Yes,No
71756551260,Female,0,Yes,No
56746807100,Male,0,Yes,Yes
54516808765,Male,0,No,No
60385977000,Female,0,Yes,Yes
34824771080,Female,0,Yes,No
93248086130,Female,0,Yes,Yes
31712748416,Female,1,No,No
67737826351,Female,0,No,No
98214658462,Female,0,No,No
4499727804,Male,0,Yes,No
75588675339,Male,0,Yes,Yes
39636057664,Female,0,Yes,Yes
62702895131,Female,0,Yes,Yes
71870262182,Female,1,Yes,No
74596158622,Female,0,No,No
57809134396,Female,0,Yes,Yes
16117240074,Male,0,No,No
50455623805,Male,1,Yes,No
69222196945,Female,0,No,No
37923747490,Male,0,Yes,Yes
7482175920,Male,0,Yes,No
46474367130,Female,1,Yes,No
36959440645,Female,0,Yes,Yes
40909743991,Male,0,Yes,Yes
53394210401,Male,0,No,No
70952145650,Female,0,Yes,No
23285884258,Male,0,Yes,Yes
47451712346,Female,0,No,No
68516048179,Female,1,No,No
75496513707,Male,1,Yes,Yes
9859317445,Male,0,Yes,No
61200471156,Female,0,Yes,No
38267586920,Male,0,Yes,Yes
26179640513,Female,0,Yes,Yes
37735158556,Male,1,Yes,No
6431713982,Female,1,No,No
532931858,Female,0,No,No
39335290424,Male,1,Yes,Yes
22842102010,Male,0,No,No
53950240268,Male,0,Yes,No
68117758903,Female,0,No,No
17839084753,Male,0,No,No
766177181,Female,0,Yes,Yes
15921249920,Male,0,Yes,No
85698478902,Male,1,No,No
61183673612,Male,0,No,No
57661565455,Female,0,No,No
52711116107,Male,0,Yes,No
52809885109,Male,0,Yes,Yes
65604945196,Female,0,No,No
98327315854,Female,0,Yes,No
51493689975,Female,0,No,No
80940244535,Male,0,Yes,Yes
50229612024,Male,0,Yes,No
18366752593,Female,0,No,No
45991022968,Female,0,Yes,No
1476797617,Male,0,No,Yes
